iter	Passed	Remaining
0	742	742150
1	750	374350
2	754	250592
3	758	188763
4	768	152924
5	772	127992
6	773	109755
7	775	96111
8	776	85463
9	777	76943
10	778	69961
11	779	64145
12	780	59224
13	780	55002
14	781	51344
15	782	48149
16	783	45324
17	784	42810
18	785	40563
19	786	38543
20	788	36738
21	789	35094
22	790	33582
23	791	32194
24	792	30917
25	793	29739
26	794	28643
27	795	27623
28	796	26675
29	797	25789
30	798	24960
31	799	24188
32	800	23464
33	802	22788
34	803	22142
35	804	21531
36	805	20952
37	806	20413
38	807	19893
39	808	19398
40	809	18927
41	810	18478
42	811	18051
43	812	17643
44	812	17253
45	814	16889
46	815	16535
47	817	16210
48	818	15880
49	819	15567
50	820	15263
51	821	14971
52	822	14690
53	823	14419
54	824	14158
55	824	13906
56	825	13664
57	826	13429
58	827	13202
59	828	12982
60	829	12771
61	831	12572
62	832	12379
63	833	12190
64	834	12004
65	835	11824
66	836	11650
67	837	11480
68	838	11315
69	839	11155
70	840	11000
71	841	10847
72	842	10699
73	843	10554
74	845	10425
75	846	10289
76	847	10156
77	848	10025
78	849	9898
79	849	9774
80	850	9653
81	851	9536
82	852	9416
83	853	9304
84	854	9195
85	855	9088
86	856	8984
87	857	8882
88	858	8782
89	860	8700
90	861	8603
91	862	8510
92	863	8420
93	864	8331
94	865	8244
95	866	8158
96	867	8074
97	868	7991
98	869	7909
99	870	7830
100	870	7751
101	871	7675
102	872	7600
103	875	7540
104	876	7469
105	877	7398
106	878	7329
107	879	7260
108	880	7193
109	880	7127
110	881	7063
111	882	6999
112	883	6937
113	884	6876
114	885	6816
115	886	6757
116	887	6697
117	889	6648
118	891	6597
119	892	6543
120	893	6490
121	894	6438
122	895	6386
123	896	6335
124	897	6284
125	898	6233
126	899	6182
127	900	6134
128	901	6086
129	902	6038
130	903	5991
131	905	5951
132	906	5906
133	907	5862
134	908	5820
135	909	5779
136	911	5738
137	912	5696
138	913	5656
139	914	5615
140	915	5574
141	915	5532
142	916	5493
143	917	5454
144	918	5417
145	920	5382
146	921	5344
147	922	5307
148	923	5271
149	923	5235
150	924	5200
151	925	5165
152	926	5130
153	927	5096
154	928	5063
155	929	5031
156	930	4998
157	931	4965
158	932	4933
159	934	4906
160	935	4873
161	936	4843
162	937	4813
163	938	4782
164	939	4752
165	939	4721
166	940	4691
167	941	4662
168	942	4633
169	943	4604
170	943	4576
171	944	4547
172	945	4520
173	946	4492
174	947	4465
175	948	4440
176	949	4414
177	950	4388
178	951	4362
179	952	4336
180	952	4311
181	953	4286
182	954	4261
183	955	4236
184	956	4211
185	956	4187
186	957	4164
187	958	4140
188	959	4117
189	960	4095
190	961	4072
191	962	4051
192	964	4033
193	965	4012
194	966	3990
195	967	3969
196	968	3948
197	969	3927
198	970	3906
199	971	3885
200	972	3865
201	973	3844
202	974	3824
203	975	3804
204	976	3785
205	977	3765
206	980	3755
207	981	3737
208	982	3719
209	983	3701
210	984	3682
211	985	3664
212	986	3645
213	987	3627
214	988	3609
215	989	3591
216	990	3572
217	991	3555
218	991	3537
219	993	3522
220	994	3505
221	995	3488
222	996	3471
223	997	3454
224	998	3438
225	999	3422
226	1000	3406
227	1001	3389
228	1002	3373
229	1002	3357
230	1003	3341
231	1004	3326
232	1005	3310
233	1006	3294
234	1007	3279
235	1009	3269
236	1010	3254
237	1011	3240
238	1012	3225
239	1013	3210
240	1014	3196
241	1015	3182
242	1016	3167
243	1017	3153
244	1018	3138
245	1019	3124
246	1020	3110
247	1021	3096
248	1022	3082
249	1025	3075
250	1026	3061
251	1027	3050
252	1029	3038
253	1030	3025
254	1031	3012
255	1032	2999
256	1033	2986
257	1034	2975
258	1035	2962
259	1036	2949
260	1038	2941
261	1040	2932
262	1042	2920
263	1043	2909
264	1044	2897
265	1045	2885
266	1046	2873
267	1047	2860
268	1048	2848
269	1049	2836
270	1050	2824
271	1051	2813
272	1051	2801
273	1053	2792
274	1055	2781
275	1055	2769
276	1058	2761
277	1060	2753
278	1061	2742
279	1062	2731
280	1063	2719
281	1063	2708
282	1064	2697
283	1065	2686
284	1066	2675
285	1067	2666
286	1069	2656
287	1071	2648
288	1072	2638
289	1073	2628
290	1074	2618
291	1077	2612
292	1078	2601
293	1079	2591
294	1080	2581
295	1081	2571
296	1082	2561
297	1084	2553
298	1085	2545
299	1086	2535
300	1087	2526
301	1089	2517
302	1089	2507
303	1090	2497
304	1091	2487
305	1092	2478
306	1093	2468
307	1094	2459
308	1095	2450
309	1096	2440
310	1097	2431
311	1099	2425
312	1101	2416
313	1102	2407
314	1103	2398
315	1104	2389
316	1104	2380
317	1105	2371
318	1107	2363
319	1108	2354
320	1109	2345
321	1110	2337
322	1111	2328
323	1112	2320
324	1114	2315
325	1116	2307
326	1117	2299
327	1118	2290
328	1118	2282
329	1119	2273
330	1120	2265
331	1121	2257
332	1122	2248
333	1123	2240
334	1124	2232
335	1125	2225
336	1129	2221
337	1130	2213
338	1131	2206
339	1132	2199
340	1134	2192
341	1135	2184
342	1136	2176
343	1137	2168
344	1140	2165
345	1141	2158
346	1143	2151
347	1144	2145
348	1146	2138
349	1148	2132
350	1149	2125
351	1150	2117
352	1151	2110
353	1152	2102
354	1153	2095
355	1154	2088
356	1155	2080
357	1156	2073
358	1157	2066
359	1159	2062
360	1161	2055
361	1162	2048
362	1163	2041
363	1164	2035
364	1165	2028
365	1166	2021
366	1167	2014
367	1168	2007
368	1169	2000
369	1170	1993
370	1171	1986
371	1172	1979
372	1175	1975
373	1176	1968
374	1177	1962
375	1178	1955
376	1179	1949
377	1180	1943
378	1181	1936
379	1182	1929
380	1183	1922
